DialogueID;VoiceID;Page;Clip_L1;
DID_Lusha_Session2_1colere6;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/03bef50e-8cbb-b2ee-16b7-16e57bae01ec.mp3;
DID_Lusha_Session2_1colere7;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/d238d93e-83ed-4665-81ed-241c5a72cd6e.mp3;
DID_Lusha_Session2_1colere7;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/a7830de1-b5df-e0af-bb20-ebf1b07cf924.mp3;
DID_Lusha_Session2_1colere8;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/132d0669-9fbe-2fc3-1d46-5d5e8bd651d4.mp3;
DID_Lusha_Session2_1colere8;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/f6e22f43-1212-bb3a-4206-417f75105e2c.mp3;
DID_Lusha_Session2_1colere8;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/1fd494fd-2ef9-6093-8a95-b93f7c424caa.mp3;
DID_Lusha_Session2_1colere9;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/43f49f6d-302d-9bb5-6eb4-566bab9288b7.mp3;
DID_Lusha_Session2_1colere9;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/2b90fa2d-c883-b1f5-d88a-3222a437df4d.mp3;
DID_Lusha_Session2_1colere9;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/207c089b-b508-7ac5-1cc0-bfaf5f615a0d.mp3;
DID_Lusha_Session2_1colere9;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/207c089b-b508-7ac5-1cc0-bfaf5f615a0d.mp3;
DID_Lusha_Session2_1colere10;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/af383896-e3fe-22ea-8581-5856dc700669.mp3;
DID_Lusha_Session2_1colere10;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/bbed5751-ec04-ef57-4892-650e7ee6a2f8.mp3;
DID_Lusha_Session2_1colere10;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/f81dd901-3d58-a278-cc1a-41af706e827c.mp3;
DID_Lusha_Session2_1colere10_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/c01dc0b6-3887-9404-c168-42cd1168d72c.mp3;
DID_Lusha_Session2_1colere11;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/37eb382b-0e4d-27bf-5d61-bef11dff771a.mp3;
DID_Lusha_Session2_1colere11;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/d8785164-4d23-dbbb-fb5f-954f063ef13f.mp3;
DID_Lusha_Session2_1colere11;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/d770f269-9dc5-2971-cc0f-c7f055ad0788.mp3;
DID_Lusha_Session2_1colere11;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/b08fded9-4764-4cc5-392b-a42eb6808361.mp3;
DID_Lusha_Session2_1colere12;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/a9723f79-2160-380d-8ad7-1cf0b5e6034b.mp3;
DID_Lusha_Session2_1colere12;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/447fcdf8-d610-f007-4451-be38ffff90f7.mp3;
DID_Lusha_Session2_1colere12;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/dc2bf68b-6701-75ec-0e8f-b66b3faeec0e.mp3;
